prompt_id,type,source,winner,prompt,target,tier,tokens_approx,qwen_token_count,char_len,length_resid_pc1,length_resid_pc2,length_resid_pc3,pc1,pc2,pc3
sc_gen_mirror_0064,structural_copying,gen_mirror,off,12-1212-121212-12121212-1212121212-1212121212-12121212-121212-1212-," 12",short,1,,67,-18.925391,5.705085,2.887333,-12.936349,0.782508,0.081708
sc_gen_mirror_0069,structural_copying,gen_mirror,off,pq|pqpq|pqpqpq|pqpqpqpq|pqpqpqpqpq|pqpqpqpqpq|pqpqpqpq|pqpqpq|pqpq|," pq",short,1,,67,-12.055349,5.432272,1.309173,-6.297706,-0.806633,0.991606
sc_gen_mirror_0065,structural_copying,gen_mirror,off,12|1212|121212|12121212|12121212|121212|1212|," 12",short,1,,45,-11.57442,4.975123,1.489795,-5.497676,0.016472,1.015106
sc_gen_delim_0050,structural_copying,gen_delim,constant_2.6,<123> ; <123> ; <123> ; <123> ; <123> ; <123,>,short,14,,44,-8.070387,4.149855,0.389497,-3.33156,0.162092,1.871022
sc_gen_mirror_0066,structural_copying,gen_mirror,off,12-1212-121212-121212-1212-," 12",short,1,,27,-9.640468,2.929882,2.39426,-3.316564,0.984315,-0.597572
sc_gen_delim_0047,structural_copying,gen_delim,constant_2.6,{123} {123} {123} {123} {123} {123,},short,7,,34,-8.671157,3.966042,1.464632,-3.173816,0.159458,0.705912
sc_gen_mirror_0071,structural_copying,gen_mirror,constant_2.6,ab-abab-ababab-abababab-ababababab-ababababab-abababab-ababab-abab-," ab",short,1,,67,-9.737177,1.001314,1.255403,-3.135786,2.446049,-0.434455
sc_gen_struct_0026,structural_copying,gen_struct,constant_2.6,"Q: What is 2+2? A: 4
Q: What is 3+3? A: 6
Q: What is 5+5? A:"," 10",short,22,,60,-6.744556,2.080557,0.867338,-3.0334,0.42764,0.096366
sc_gen_delim_0044,structural_copying,gen_delim,late_boost_bal_0.60,(pq) | (pq) | (pq) | (pq) | (pq) | (pq,),short,14,,38,-7.313851,1.680041,1.916512,-2.547768,0.964018,-0.825703
sc_gen_mirror_0063,structural_copying,gen_mirror,off,12|1212|121212|121212|1212|," 12",short,1,,27,-8.589194,2.89494,1.589771,-2.163929,1.083507,0.197595
sc_gen_num_seq_0016,structural_copying,gen_num_seq,constant_2.6,"36; 39; 42; 45; 48; 51; 54; "," 57",short,9,,28,-5.840233,3.484934,3.883755,-0.988669,-1.258967,-2.133345
sc_gen_delim_0042,structural_copying,gen_delim,constant_2.6,<k9> ; <k9> ; <k9> ; <k9> ; <k9,>,short,11,,31,-5.375462,2.767836,1.383949,-0.318226,0.095856,0.19126
sc_gen_num_seq_0015,structural_copying,gen_num_seq,off,"35, 36, 37, 38, 39, 40, "," 41",short,7,,24,-5.00783,2.874493,3.466115,0.257974,-0.701236,-1.85147
