id,type,tier,model,adapter,prompt_render_version,target_prob,target_rank,final_entropy,mean_seq_entropy,time_s,source,prompt,target,metadata
fr_counterfact_0038,factual_recall,short,Qwen/Qwen3.5-35B-A3B,identity,prompt_render_v3_identity_default,2.086162567138672e-06,11125,7.438896179199219,7.0,0.298,counterfact,"The Domino Principle, who plays", thriller,"{""subject"": ""The Domino Principle""}"
sp_lm_syneval_0019,syntactic_pattern,short,Qwen/Qwen3.5-35B-A3B,identity,prompt_render_v3_identity_default,8.940696716308594e-07,7278,5.4777326583862305,7.71875,0.294,lm_syneval,The customers that love the architects, swim,"{""pattern"": ""agreement_minimal_pair"", ""case"": ""subj_rel"", ""variant"": ""plur_MS_EV_MV_plur_ES"", ""contrast"": ""swims""}"
sp_lm_syneval_0023,syntactic_pattern,short,Qwen/Qwen3.5-35B-A3B,identity,prompt_render_v3_identity_default,3.8370490074157715e-07,6771,4.824011325836182,7.28125,0.29,lm_syneval,The mechanic knew the consultants, smile,"{""pattern"": ""agreement_minimal_pair"", ""case"": ""sent_comp"", ""variant"": ""plur_MS_MV_sing_BS"", ""contrast"": ""smiles""}"
fr_counterfact_0037,factual_recall,short,Qwen/Qwen3.5-35B-A3B,identity,prompt_render_v3_identity_default,2.3543834686279297e-06,6370,6.807717323303223,5.03125,0.302,counterfact,"The genre played by Svensson, Svensson is", sitcom,"{""subject"": "" Svensson, Svensson""}"
fr_counterfact_0014,factual_recall,short,Qwen/Qwen3.5-35B-A3B,identity,prompt_render_v3_identity_default,1.4901161193847656e-06,5144,6.852801322937012,6.46875,0.296,counterfact,The occupation of Justin I is, politician,"{""subject"": "" Justin I""}"
sp_lm_syneval_0020,syntactic_pattern,short,Qwen/Qwen3.5-35B-A3B,identity,prompt_render_v3_identity_default,4.731118679046631e-07,4037,2.851576805114746,7.15625,0.292,lm_syneval,The consultants that the executives love, smile,"{""pattern"": ""agreement_minimal_pair"", ""case"": ""obj_rel_across_anim"", ""variant"": ""plur_MS_MV_plur_ES_EV"", ""contrast"": ""smiles""}"
fr_counterfact_0068,factual_recall,short,Qwen/Qwen3.5-35B-A3B,identity,prompt_render_v3_identity_default,3.7401914596557617e-06,3721,7.709401607513428,6.125,0.292,counterfact,Rob Ford's position is, councillor,"{""subject"": ""Rob Ford""}"
sp_lm_syneval_0018,syntactic_pattern,short,Qwen/Qwen3.5-35B-A3B,identity,prompt_render_v3_identity_default,4.410743713378906e-06,2871,5.86094856262207,8.0625,0.296,lm_syneval,The authors the taxi drivers admire, smile,"{""pattern"": ""agreement_minimal_pair"", ""case"": ""obj_rel_no_comp_across_anim"", ""variant"": ""plur_MS_MV_plur_ES_EV"", ""contrast"": ""smiles""}"
sp_lm_syneval_0015,syntactic_pattern,short,Qwen/Qwen3.5-35B-A3B,identity,prompt_render_v3_identity_default,9.47713851928711e-06,2622,6.942969799041748,7.96875,0.297,lm_syneval,The pilots that hate the skater, laugh,"{""pattern"": ""agreement_minimal_pair"", ""case"": ""subj_rel"", ""variant"": ""plur_MS_EV_MV_sing_ES"", ""contrast"": ""laughs""}"
fr_counterfact_0078,factual_recall,short,Qwen/Qwen3.5-35B-A3B,identity,prompt_render_v3_identity_default,5.692243576049805e-06,1982,3.516569137573242,5.71875,0.298,counterfact,"Guilt Machine, that was formed in", Netherlands,"{""subject"": ""Guilt Machine""}"
