prompt_id,type,winner,prompt,target,tier,source,tokens_approx,pc1,pc2,pc3,length_resid_pc1,length_resid_pc2,length_resid_pc3
alg_seed_0001,algorithmic,constant_2.6,"Transform each number using this rule: if it is even, add 4; if it is odd, double it. Then subtract the first transformed value from the last transformed value for: 3, 9, 5, 6, 8
Answer:", 6,brief,alg_transform_list,46,-9.71056,5.922672,1.033784,-11.793245,-2.587703,-1.508645
alg_seed_0002,algorithmic,edges_narrow_bal_0.55,"Remove duplicates while keeping first occurrence order: green, green, yellow, red, yellow, blue
How many items remain?", 4,short,alg_dedup,22,1.014332,0.940968,-0.722054,-2.893179,0.231089,1.070141
alg_seed_0007,algorithmic,constant_2.6,"Count how many numbers are both greater than 8 and even in: 6, 18, 7, 3, 13, 4, 11, 24
Answer:", 2,short,alg_filter_count,27,-4.202877,5.469856,0.371609,-8.508059,-2.863199,-1.040082
alg_seed_0008,algorithmic,constant_2.6,"Sum only the numbers greater than 11 from: 6, 10, 13, 1, 9, 11
Answer:", 13,short,alg_filter_sum,19,-2.642014,5.383534,0.610026,-7.941726,-2.521847,-1.111289
alg_seed_0009,algorithmic,late_boost_bal_0.60,Start with 20. Add 7. Then subtract 2. Result:, 25,short,alg_arithmetic,11,3.422846,0.637616,-1.192361,-1.794,0.556163,1.704924
alg_seed_0010,algorithmic,late_boost_bal_0.60,Add 16 and 7. Then multiply that result by the absolute difference between 6 and 14. Result:, 184,short,alg_arithmetic2,22,-0.587486,1.445531,-0.412446,-4.593306,0.283503,0.800007
alg_seed_0014,algorithmic,late_boost_bal_0.60,"Is 47 divisible by 6? Answer yes or no.
Answer:", no,short,alg_divisible,13,4.883033,0.786736,0.930456,-0.156148,0.116801,-0.989501
alg_seed_0015,algorithmic,late_boost_bal_0.60,Add 2 and 12. Then multiply that result by the absolute difference between 14 and 6. Result:, 112,short,alg_arithmetic2,22,-1.096631,1.65415,-0.33449,-5.145658,0.268324,0.766008
alg_seed_0016,algorithmic,constant_2.6,"Rotate this list left by 3 positions and give the 3rd item: omega, sigma, theta, delta, alpha
Answer:", omega,short,alg_extract_rotate,23,-2.981871,3.97299,0.850744,-7.460696,-1.237054,-0.996686
alg_seed_0018,algorithmic,late_boost_bal_0.60,"Transform each number using this rule: if it is even, add 4; if it is odd, double it. Then subtract the first transformed value from the last transformed value for: 10, 4, 1, 6, 3
Answer:", -8,brief,alg_transform_list,46,-10.208797,5.873454,1.037384,-12.273985,-2.356304,-1.381189
alg_seed_0021,algorithmic,constant_2.6,"Sort these numbers in ascending order and give the 2nd number: 21, 1, 14, 5, 7
Answer:", 5,short,alg_sort,22,-3.930023,4.953117,-0.739338,-8.691249,-2.406707,0.285832
alg_seed_0022,algorithmic,constant_2.6,"Transform each number using this rule: if it is even, double it; if it is odd, add 3. Then give the largest transformed value from: 6, 17, 10, 8, 12
Answer:", 24,brief,alg_select_transform,40,-8.035829,4.226654,-0.154382,-10.406886,-1.470802,0.037214
alg_seed_0023,algorithmic,constant_2.6,"Take the first letter of each word and combine them: red, blue, green
Answer:", rbg,short,alg_initials,18,3.928292,1.970903,0.597863,-0.793098,-1.115017,-1.039183
alg_seed_0024,algorithmic,off,"Take every second word starting from the second item in this list, reverse that smaller list, and return its 2nd item: omega, gamma, theta, kappa, alpha, beta
Answer:", kappa,brief,alg_string_rule,36,-5.093844,3.7585,0.736651,-7.912981,-1.385984,-1.061148
alg_seed_0026,algorithmic,constant_2.6,"Remove duplicate numbers, sort the remaining values in ascending order, and give the 4th number from: 6, 14, 15, 3, 17, 3, 14
Answer:", 15,brief,alg_sort_dedup,31,-8.256527,5.820825,0.370764,-12.070713,-2.332922,-0.727693
alg_seed_0030,algorithmic,late_boost_bal_0.60,Start with 9. Add 3. Double. Halve. Result:, 12,short,alg_transform,10,2.894606,0.11699,0.01214,-2.28713,1.417872,0.676597
alg_seed_0031,algorithmic,constant_2.6,"Transform each number using this rule: if it is even, double it; if it is odd, add 3. Then give the largest transformed value from: 12, 19, 13, 5, 4
Answer:", 24,brief,alg_select_transform,40,-8.299442,4.209139,-0.212384,-10.656865,-1.405176,0.127682
alg_seed_0032,algorithmic,constant_2.6,"Use this mapping A=2, B=3, C=5, D=7. Sum the values for: B, A, A, D, C
Answer:", 19,short,alg_mapping,22,-4.693526,4.918229,1.565652,-9.446583,-1.678239,-1.944975
